date,price,market_caps,total_volumes
17/7/2014,622.8950000000001,8095579446.500001,14637445.280315427
18/7/2014,627.0188000000003,8173252759.880004,14086517.690069783
19/7/2014,626.1763000000001,8165088481.480001,7640657.031253545
20/7/2014,620.5138,8093609698.919999,4767570.263
21/7/2014,619.9088000000002,8088074095.3600025,8225443.991691393
22/7/2014,619.0062999999999,8078589320.669999,7698580.9229142675
23/7/2014,617.9425000000001,8066930366.250001,9043046.013458895
24/7/2014,599.8088,7832303310,24703385.252356224
25/7/2014,600.0963000000002,7837677745.410003,20256797.398241412
26/7/2014,593.7750000000001,7758026640.000001,11443452.28870578
27/7/2014,590.3788,7715896689,9300140.747
28/7/2014,585.2787999999998,7651364384.369997,23117898.15816101
29/7/2014,581.7138,7607013191,11790372.332249207
30/7/2014,560.7912999999999,7335781094.212499,18397948.917774394
31/7/2014,583.1821057431899,7630850376.333778,23252091.391060743
1/8/2014,593.8655273953669,7773046501.525218,22927176.796534866
2/8/2014,588.2306991611412,7701689838.349342,9260582.608232379
3/8/2014,585.5731940766995,7669135008.183718,9179432.125804095
4/8/2014,586.3686859113967,7681459103.873592,11325982.78547038
5/8/2014,582.4186267649761,7631722475.814864,13046784.254992407
6/8/2014,583.3249999999999,7645917854.374999,12769922.201948395
7/8/2014,587.2031590188054,7699128899.554043,11942668.461052554
8/8/2014,590.9072702245192,7749970439.220903,12277588.527439365
9/8/2014,588.1078559835756,7716004475.897311,7934876.355063622
10/8/2014,588.5004825541756,7723612745.649575,8504716.676129557
11/8/2014,573.4063,7528222642,16394404.861505693
12/8/2014,567.4023482208208,7451879444.947211,15825348.317337945
13/8/2014,543.6674999999999,7142146355.812499,36644669.931792624
14/8/2014,503.7087999999998,6619438824.319998,46265624.62553175
15/8/2014,492.2844982828295,6470895123.240938,31123413.362281278
16/8/2014,521.0463000000001,6851511348.007502,27941383.427219495
17/8/2014,494.7813,6508254264,28596111.80240412
18/8/2014,459.8863000000001,6051494358.652501,60758484.534893334
19/8/2014,484.1549999999999,6373125926.999999,45173284.02810885
20/8/2014,514.1863000000001,6770599523.880001,55122051.107402146
21/8/2014,515.605,6791368598,47111104.07847081
22/8/2014,515.8263000000001,6796320998.280002,34159957.60252427
23/8/2014,496.5688000000001,6544627813.360002,23986341.558129977
24/8/2014,508.1138,6698642065,18509793.266628254
25/8/2014,500.3863,6598469042,15737842.720394537
26/8/2014,510.6387999999999,6735887474.679998,21288943.923400816
27/8/2014,510.4463,6735479301,21505988.92038193
28/8/2014,506.9150000000001,6691049888.250001,18467248.48861226
29/8/2014,508.0963,6708840033,16001723.62834569
30/8/2014,501.5300000000001,6624308546.000001,10747408.658269238
31/8/2014,480.0262999999999,6342575501.242498,43358429.758384064
1/9/2014,475.8200000000002,6288710716.500003,19343751.807486504
2/9/2014,474.6938,6275487638,21083352.224831242
3/9/2014,474.7263000000001,6277994218.035002,14233663.71176932
4/9/2014,489.5475000000001,6475917910.312501,23597497.056552686
5/9/2014,480.2425000000001,6354592772.125001,14058803.04997312
6/9/2014,482.3588,6384706079,9776900.705157386
7/9/2014,480.6025,6363333296,7748654.382831849
8/9/2014,471.1250000000001,6239603056.250001,27618107.417669404
9/9/2014,471.7538,6249605641,20218609.30319999
10/9/2014,477.1138,6322521232,20792329.424092777
11/9/2014,476.3775000000001,6314752955.062501,14579193.13186878
12/9/2014,473.6874999999999,6280918617.187499,13395857.32409978
13/9/2014,476.0013,6313764543,14007703.004896387
14/9/2014,474.795,6299010306,11468703.326540692
15/9/2014,473.0313,6278083239,12723496.884358438
16/9/2014,462.5925,6141505243,16956832.82370955
17/9/2014,454.6238000000001,6037835956.610002,23179362.991400693
18/9/2014,423.565,5627251629,48338347.98438927
19/9/2014,393.2624999999999,5226301319.999999,47766762.16
20/9/2014,408.5025,5430693510,47847915.31720254
21/9/2014,396.62,5274312253,32843840.15919743
22/9/2014,398.3113000000001,5298466363.772501,24225299.21
23/9/2014,433.7512999999999,5771559860.494999,57448184.246617585
24/9/2014,420.92,5602424154,32689372.436466075
25/9/2014,407.9775,5431965427,30733509.96720748
26/9/2014,402.88,5365475264,23707503.068168852
27/9/2014,398.0074999999999,5301867857.687499,16698720.05207724
28/9/2014,375.9887999999999,5009825166.719998,29504744.82791448
29/9/2014,373.0888,4972406273,37668363.03976922
30/9/2014,387.3512999999999,5164012591.079999,34519038.81008948
1/10/2014,380.8949999999999,5079406227.749999,26019381.155069035
2/10/2014,371.8413,4959944621,19867284.508463353
3/10/2014,356.1899999999999,4752500693.999999,29080111.34
4/10/2014,327.8813,4376051376,44971218.61630971
5/10/2014,325.1099999999999,4340421693.749999,81809696.99023308
6/10/2014,328.73,4390074095,75997580.13997829
7/10/2014,331.7238,4431199693,43924704.45993865
8/10/2014,353.3901000000001,4721892499.170001,50777426.825353265
9/10/2014,358.395,4790047734,80036548.33990295
10/10/2014,357.5549999999999,4780224305.999999,42046080.75021416
11/10/2014,359.515,4807704216,32266988.405666195
12/10/2014,374.1675000000001,5005060917.937501,30739066.019255087
13/10/2014,387.0387999999999,5178714607.579999,55435747.92234496
14/10/2014,398.2888,5330587770,71417120.06933361
15/10/2014,392.1900000000001,5250404406.000001,49257724.14281866
16/10/2014,379.3912999999999,5080504776.5599985,48941848.67
17/10/2014,380.2925,5093875428,38063635.90178972
18/10/2014,389.1163,5213672025,43799624.062763646
19/10/2014,386.945,5185875585,32870166.09728563
20/10/2014,379.7699999999999,5090987746.499999,32186402.177928016
21/10/2014,382.4137999999999,5127920489.029999,33195457.629108418
22/10/2014,379.4425000000001,5089595057.375001,22279085.760041673
23/10/2014,356.2000000000001,4779135400.000001,48354309.486003265
24/10/2014,354.3175000000001,4755312883.375001,32650701.35283577
25/10/2014,347.0304940564094,4658797625.083782,35098508.122770295
26/10/2014,350.1888000000001,4702361470.560001,27618300.827371847
27/10/2014,348.29,4678274816,40322147.37977852
28/10/2014,351.5638000000001,4723453013.090001,26517269.319478102
29/10/2014,333.1474999999999,4477252539.374999,43376134.310925096
30/10/2014,343.6674999999999,4620136994.687499,59854847.07670034
31/10/2014,336.5879758057807,4526519245.630091,30524273.859307867
1/11/2014,323.9763,4358250679,38569972.59373859
2/11/2014,323.9849999999999,4359606956.999999,28711350.70534258
3/11/2014,323.995,4361102298,40772300.42284785
4/11/2014,328.0083,4416492356,35073797.880440444
5/11/2014,337.5933,4546689685,44434915.106879316
6/11/2014,347.8183,4685738574,43131102.62856433
7/11/2014,341.2317,4598267773,40263476.29477718
8/11/2014,344.1783,4639316977,30212775.72296773
9/11/2014,363.4241291015933,4900092961,51466025.86583119
10/11/2014,363.7649999999999,4906043990.249999,62274660.836041614
11/11/2014,366.15,4939381808,45679773.63975148
12/11/2014,418.5783,5648170007,234617998.94235379
13/11/2014,414.7083,5597421602,338849744.1846642
